Time,Stage
2014-03-01 00:00,22.06
2014-03-01 00:15,22.24
2014-03-01 00:30,22.44
2014-03-01 00:45,22.64
2014-03-01 01:00,22.84
2014-03-01 01:15,23.01
2014-03-01 01:30,23.22
2014-03-01 01:45,23.41
2014-03-01 02:00,23.6
2014-03-01 02:15,23.75
2014-03-01 02:30,23.94
2014-03-01 02:45,24.12
2014-03-01 03:00,24.28
2014-03-01 03:15,24.44
2014-03-01 03:30,24.58
2014-03-01 03:45,24.71
2014-03-01 04:00,24.8
2014-03-01 04:15,24.91
2014-03-01 04:30,24.98
2014-03-01 04:45,25.04
2014-03-01 05:00,25.07
2014-03-01 05:15,25.05
2014-03-01 05:30,25.0
2014-03-01 05:45,24.89
2014-03-01 06:00,24.77
2014-03-01 06:15,24.64
2014-03-01 06:30,24.48
2014-03-01 06:45,24.31
2014-03-01 07:00,24.13
2014-03-01 07:15,23.94
2014-03-01 07:30,23.77
2014-03-01 07:45,23.6
2014-03-01 08:00,23.42
2014-03-01 08:15,23.25
2014-03-01 08:30,23.09
2014-03-01 08:45,22.94
2014-03-01 09:00,22.8
2014-03-01 09:15,22.65
2014-03-01 09:30,22.52
2014-03-01 09:45,22.39
2014-03-01 10:00,22.27
2014-03-01 10:15,22.17
2014-03-01 10:30,22.08
2014-03-01 10:45,22.02
2014-03-01 11:00,21.99
2014-03-01 11:15,22.01
2014-03-01 11:30,22.08
2014-03-01 11:45,22.21
2014-03-01 12:00,22.37
2014-03-01 12:15,22.54
2014-03-01 12:30,22.74
2014-03-01 12:45,22.96
2014-03-01 13:00,23.13
2014-03-01 13:15,23.33
2014-03-01 13:30,23.54
2014-03-01 13:45,23.73
2014-03-01 14:00,23.92
2014-03-01 14:15,24.11
2014-03-01 14:30,24.3
2014-03-01 14:45,24.48
2014-03-01 15:00,24.65
2014-03-01 15:15,24.8
2014-03-01 15:30,24.94
2014-03-01 15:45,25.06
2014-03-01 16:00,25.19
2014-03-01 16:15,25.29
2014-03-01 16:30,25.35
2014-03-01 16:45,25.4
2014-03-01 17:00,25.4
2014-03-01 17:15,25.36
2014-03-01 17:30,25.29
2014-03-01 17:45,25.16
2014-03-01 18:00,25.02
2014-03-01 18:15,24.88
2014-03-01 18:30,24.71
2014-03-01 18:45,24.55
2014-03-01 19:00,24.36
2014-03-01 19:15,24.18
2014-03-01 19:30,24.0
2014-03-01 19:45,23.82
2014-03-01 20:00,23.64
2014-03-01 20:15,23.46
2014-03-01 20:30,23.29
2014-03-01 20:45,23.13
2014-03-01 21:00,22.97
2014-03-01 21:15,22.8
2014-03-01 21:30,22.64
2014-03-01 21:45,22.49
2014-03-01 22:00,22.34
2014-03-01 22:15,22.19
2014-03-01 22:30,22.06
2014-03-01 22:45,21.93
2014-03-01 23:00,21.82
2014-03-01 23:15,21.73
2014-03-01 23:30,21.65
2014-03-01 23:45,21.62
2014-03-02 00:00,21.63
2014-03-02 00:15,21.71
2014-03-02 00:30,21.85
2014-03-02 00:45,22.04
2014-03-02 01:00,22.24
2014-03-02 01:15,22.46
2014-03-02 01:30,22.68
2014-03-02 01:45,22.87
2014-03-02 02:00,23.09
2014-03-02 02:15,23.29
2014-03-02 02:30,23.48
2014-03-02 02:45,23.66
2014-03-02 03:00,23.86
2014-03-02 03:15,24.04
2014-03-02 03:30,24.24
2014-03-02 03:45,24.41
2014-03-02 04:00,24.58
2014-03-02 04:15,24.72
2014-03-02 04:30,24.84
2014-03-02 04:45,24.98
2014-03-02 05:00,25.08
2014-03-02 05:15,25.16
2014-03-02 05:30,25.22
2014-03-02 05:45,25.25
2014-03-02 06:00,25.23
2014-03-02 06:15,25.17
2014-03-02 06:30,25.07
2014-03-02 06:45,24.94
2014-03-02 07:00,24.79
2014-03-02 07:15,24.63
2014-03-02 07:30,24.44
2014-03-02 07:45,24.27
2014-03-02 08:00,24.09
2014-03-02 08:15,23.91
2014-03-02 08:30,23.74
2014-03-02 08:45,23.57
2014-03-02 09:00,23.39
2014-03-02 09:15,23.22
2014-03-02 09:30,23.07
2014-03-02 09:45,22.92
2014-03-02 10:00,22.76
2014-03-02 10:15,22.6
2014-03-02 10:30,22.46
2014-03-02 10:45,22.33
2014-03-02 11:00,22.2
2014-03-02 11:15,22.09
2014-03-02 11:30,22.0
2014-03-02 11:45,21.94
2014-03-02 12:00,21.92
2014-03-02 12:15,21.93
2014-03-02 12:30,22.0
2014-03-02 12:45,22.12
2014-03-02 13:00,22.29
2014-03-02 13:15,22.48
2014-03-02 13:30,22.7
2014-03-02 13:45,22.9
2014-03-02 14:00,23.08
2014-03-02 14:15,23.31
2014-03-02 14:30,23.51
2014-03-02 14:45,23.72
2014-03-02 15:00,23.91
2014-03-02 15:15,24.08
2014-03-02 15:30,24.26
2014-03-02 15:45,24.44
2014-03-02 16:00,24.6
2014-03-02 16:15,24.75
2014-03-02 16:30,24.88
2014-03-02 16:45,24.98
2014-03-02 17:00,25.11
2014-03-02 17:15,25.17
2014-03-02 17:30,25.23
2014-03-02 17:45,25.26
2014-03-02 18:00,25.23
2014-03-02 18:15,25.18
2014-03-02 18:30,25.05
2014-03-02 18:45,24.93
2014-03-02 19:00,24.77
2014-03-02 19:15,24.59
2014-03-02 19:30,24.42
2014-03-02 19:45,24.25
2014-03-02 20:00,24.07
2014-03-02 20:15,23.89
2014-03-02 20:30,23.71
2014-03-02 20:45,23.54
2014-03-02 21:00,23.36
2014-03-02 21:15,23.18
2014-03-02 21:30,23.02
2014-03-02 21:45,22.87
2014-03-02 22:00,22.71
2014-03-02 22:15,22.56
2014-03-02 22:30,22.39
2014-03-02 22:45,22.16
2014-03-02 23:00,22.12
2014-03-02 23:15,21.96
2014-03-02 23:30,21.86
2014-03-02 23:45,21.75
2014-03-03 00:00,21.67
2014-03-03 00:15,21.62
2014-03-03 00:30,21.6
2014-03-03 00:45,21.65
2014-03-03 01:00,21.74
2014-03-03 01:15,21.88
2014-03-03 01:30,22.12
2014-03-03 01:45,22.28
2014-03-03 02:00,22.5
2014-03-03 02:15,22.71
2014-03-03 02:30,22.9
2014-03-03 02:45,23.12
2014-03-03 03:00,23.3
2014-03-03 03:15,23.49
2014-03-03 03:30,23.68
2014-03-03 03:45,23.86
2014-03-03 04:00,24.05
2014-03-03 04:15,24.23
2014-03-03 04:30,24.39
2014-03-03 04:45,24.54
2014-03-03 05:00,24.68
2014-03-03 05:15,24.79
2014-03-03 05:30,24.91
2014-03-03 05:45,24.99
2014-03-03 06:00,25.04
2014-03-03 06:15,25.08
2014-03-03 06:30,25.08
2014-03-03 06:45,25.02
2014-03-03 07:00,24.92
2014-03-03 07:15,24.79
