Time,Stage
2014-03-01 00:00,103.13
2014-03-01 00:15,103.07
2014-03-01 00:30,103.0
2014-03-01 00:45,102.95
2014-03-01 01:00,102.9
2014-03-01 01:15,102.87
2014-03-01 01:30,102.86
2014-03-01 01:45,102.89
2014-03-01 02:00,102.93
2014-03-01 02:15,102.99
2014-03-01 02:30,103.06
2014-03-01 02:45,103.14
2014-03-01 03:00,103.26
2014-03-01 03:15,103.4
2014-03-01 03:30,103.54
2014-03-01 03:45,103.66
2014-03-01 04:00,103.76
2014-03-01 04:15,103.87
2014-03-01 04:30,103.96
2014-03-01 04:45,104.05
2014-03-01 05:00,104.14
2014-03-01 05:15,104.23
2014-03-01 05:30,104.31
2014-03-01 05:45,104.38
2014-03-01 06:00,104.43
2014-03-01 06:15,104.46
2014-03-01 06:30,104.46
2014-03-01 06:45,104.44
2014-03-01 07:00,104.4
2014-03-01 07:15,104.34
2014-03-01 07:30,104.28
2014-03-01 07:45,104.22
2014-03-01 08:00,104.17
2014-03-01 08:15,104.11
2014-03-01 08:30,104.06
2014-03-01 08:45,104.0
2014-03-01 09:00,103.95
2014-03-01 09:15,103.9
2014-03-01 09:30,103.84
2014-03-01 09:45,103.78
2014-03-01 10:00,103.73
2014-03-01 10:15,103.68
2014-03-01 10:30,103.61
2014-03-01 10:45,103.56
2014-03-01 11:00,103.5
2014-03-01 11:15,103.44
2014-03-01 11:30,103.39
2014-03-01 11:45,103.34
2014-03-01 12:00,103.29
2014-03-01 12:15,103.25
2014-03-01 12:30,103.22
2014-03-01 12:45,103.2
2014-03-01 13:00,103.19
2014-03-01 13:15,103.18
2014-03-01 13:30,103.22
2014-03-01 13:45,103.27
2014-03-01 14:00,103.32
2014-03-01 14:15,103.41
2014-03-01 14:30,103.52
2014-03-01 14:45,103.66
2014-03-01 15:00,103.82
2014-03-01 15:15,103.97
2014-03-01 15:30,104.11
2014-03-01 15:45,104.25
2014-03-01 16:00,104.38
2014-03-01 16:15,104.52
2014-03-01 16:30,104.63
2014-03-01 16:45,104.74
2014-03-01 17:00,104.83
2014-03-01 17:15,104.92
2014-03-01 17:30,104.99
2014-03-01 17:45,105.06
2014-03-01 18:00,105.1
2014-03-01 18:15,105.11
2014-03-01 18:30,105.1
2014-03-01 18:45,105.08
2014-03-01 19:00,105.03
2014-03-01 19:15,104.99
2014-03-01 19:30,104.95
2014-03-01 19:45,104.91
2014-03-01 20:00,104.87
2014-03-01 20:15,104.83
2014-03-01 20:30,104.78
2014-03-01 20:45,104.74
2014-03-01 21:00,104.69
2014-03-01 21:15,104.64
2014-03-01 21:30,104.59
2014-03-01 21:45,104.54
2014-03-01 22:00,104.49
2014-03-01 22:15,104.44
2014-03-01 22:30,104.38
2014-03-01 22:45,104.33
2014-03-01 23:00,104.28
2014-03-01 23:15,104.22
2014-03-01 23:30,104.17
2014-03-01 23:45,104.12
2014-03-02 00:00,104.06
2014-03-02 00:15,104.01
2014-03-02 00:30,103.97
2014-03-02 00:45,103.92
2014-03-02 01:00,103.87
2014-03-02 01:15,103.82
2014-03-02 01:30,103.78
2014-03-02 01:45,103.76
2014-03-02 02:00,103.75
2014-03-02 02:15,103.76
2014-03-02 02:30,103.77
2014-03-02 02:45,103.81
2014-03-02 03:00,103.85
2014-03-02 03:15,103.92
2014-03-02 03:30,103.99
2014-03-02 03:45,104.08
2014-03-02 04:00,104.18
2014-03-02 04:15,104.27
2014-03-02 04:30,104.37
2014-03-02 04:45,104.46
2014-03-02 05:00,104.56
2014-03-02 05:15,104.65
2014-03-02 05:30,104.74
2014-03-02 05:45,104.84
2014-03-02 06:00,104.92
2014-03-02 06:15,104.99
2014-03-02 06:30,105.07
2014-03-02 06:45,105.11
2014-03-02 07:00,105.13
2014-03-02 07:15,105.14
2014-03-02 07:30,105.14
2014-03-02 07:45,105.13
2014-03-02 08:00,105.1
2014-03-02 08:15,105.07
2014-03-02 08:30,105.04
2014-03-02 08:45,105.01
2014-03-02 09:00,104.98
2014-03-02 09:15,104.95
2014-03-02 09:30,104.92
2014-03-02 09:45,104.87
2014-03-02 10:00,104.83
2014-03-02 10:15,104.79
2014-03-02 10:30,104.75
2014-03-02 10:45,104.71
2014-03-02 11:00,104.66
2014-03-02 11:15,104.61
2014-03-02 11:30,104.56
2014-03-02 11:45,104.51
2014-03-02 12:00,104.46
2014-03-02 12:15,104.42
2014-03-02 12:30,104.37
2014-03-02 12:45,104.32
2014-03-02 13:00,104.27
2014-03-02 13:15,104.22
2014-03-02 13:30,104.18
2014-03-02 13:45,104.15
2014-03-02 14:00,104.13
2014-03-02 14:15,104.11
2014-03-02 14:30,104.11
2014-03-02 14:45,104.13
2014-03-02 15:00,104.15
2014-03-02 15:15,104.19
2014-03-02 15:30,104.23
2014-03-02 15:45,104.31
2014-03-02 16:00,104.41
2014-03-02 16:15,104.5
2014-03-02 16:30,104.6
2014-03-02 16:45,104.7
2014-03-02 17:00,104.79
2014-03-02 17:15,104.86
2014-03-02 17:30,104.94
2014-03-02 17:45,105.01
2014-03-02 18:00,105.08
2014-03-02 18:15,105.14
2014-03-02 18:30,105.19
2014-03-02 18:45,105.23
2014-03-02 19:00,105.24
2014-03-02 19:15,105.25
2014-03-02 19:30,105.24
2014-03-02 19:45,105.22
2014-03-02 20:00,105.19
2014-03-02 20:15,105.16
2014-03-02 20:30,105.13
2014-03-02 20:45,105.1
2014-03-02 21:00,105.05
2014-03-02 21:15,105.02
2014-03-02 21:30,104.98
2014-03-02 21:45,104.93
2014-03-02 22:00,104.89
2014-03-02 22:15,104.84
2014-03-02 22:30,104.79
2014-03-02 22:45,104.74
2014-03-02 23:00,104.7
2014-03-02 23:15,104.64
2014-03-02 23:30,104.59
2014-03-02 23:45,104.54
2014-03-03 00:00,104.49
2014-03-03 00:15,104.43
2014-03-03 00:30,104.37
2014-03-03 00:45,104.32
2014-03-03 01:00,104.27
2014-03-03 01:15,104.21
2014-03-03 01:30,104.16
2014-03-03 01:45,104.12
2014-03-03 02:00,104.07
2014-03-03 02:15,104.04
2014-03-03 02:30,104.01
2014-03-03 02:45,103.99
2014-03-03 03:00,103.99
2014-03-03 03:15,104.0
2014-03-03 03:30,104.03
2014-03-03 03:45,104.05
2014-03-03 04:00,104.1
2014-03-03 04:15,104.16
2014-03-03 04:30,104.24
2014-03-03 04:45,104.32
2014-03-03 05:00,104.39
2014-03-03 05:15,104.47
2014-03-03 05:30,104.55
2014-03-03 05:45,104.62
2014-03-03 06:00,104.69
2014-03-03 06:15,104.76
2014-03-03 06:30,104.83
2014-03-03 06:45,104.9
2014-03-03 07:00,104.95
2014-03-03 07:15,104.99
2014-03-03 07:30,105.03
2014-03-03 07:45,105.04
2014-03-03 08:00,105.04
2014-03-03 08:15,105.04
2014-03-03 08:30,105.01
2014-03-03 08:45,104.98
2014-03-03 09:00,104.97
2014-03-03 09:15,104.93
2014-03-03 09:30,104.9
2014-03-03 09:45,104.88
2014-03-03 10:00,104.84
2014-03-03 10:15,104.8
2014-03-03 10:30,104.75
2014-03-03 10:45,104.71
2014-03-03 11:00,104.67
2014-03-03 11:15,104.62
2014-03-03 11:30,104.57
2014-03-03 11:45,104.52
2014-03-03 12:00,104.47
2014-03-03 12:15,104.43
2014-03-03 12:30,104.38
2014-03-03 12:45,104.33
2014-03-03 13:00,104.28
2014-03-03 13:15,104.23
2014-03-03 13:30,104.17
2014-03-03 13:45,104.12
2014-03-03 14:00,104.07
2014-03-03 14:15,104.02
2014-03-03 14:30,103.98
2014-03-03 14:45,103.94
2014-03-03 15:00,103.91
2014-03-03 15:15,103.89
2014-03-03 15:30,103.88
2014-03-03 15:45,103.89
2014-03-03 16:00,103.9
2014-03-03 16:15,103.91
2014-03-03 16:30,103.95
2014-03-03 16:45,104.0
2014-03-03 17:00,104.06
2014-03-03 17:15,104.13
2014-03-03 17:30,104.2
2014-03-03 17:45,104.26
2014-03-03 18:00,104.33
2014-03-03 18:15,104.4
2014-03-03 18:30,104.46
2014-03-03 18:45,104.52
2014-03-03 19:00,104.58
2014-03-03 19:15,104.64
2014-03-03 19:30,104.68
2014-03-03 19:45,104.72
2014-03-03 20:00,104.73
2014-03-03 20:15,104.74
2014-03-03 20:30,104.74
2014-03-03 20:45,104.73
2014-03-03 21:00,104.7
2014-03-03 21:15,104.68
2014-03-03 21:30,104.66
2014-03-03 21:45,104.61
