Time,Flow
2016-01-09 00:00,31.2
2016-01-09 00:15,2.67
2016-01-09 00:30,-54.6
2016-01-09 00:45,-150.0
2016-01-09 01:00,-177.0
2016-01-09 01:15,-276.0
2016-01-09 01:30,-374.0
2016-01-09 01:45,-541.0
2016-01-09 02:00,-705.0
2016-01-09 02:15,-814.0
2016-01-09 02:30,-949.0
2016-01-09 02:45,-1010.0
2016-01-09 03:00,-991.0
2016-01-09 03:15,-972.0
2016-01-09 03:30,-809.0
2016-01-09 03:45,-748.0
2016-01-09 04:00,-647.0
2016-01-09 04:15,-607.0
2016-01-09 04:30,-524.0
2016-01-09 04:45,-445.0
2016-01-09 05:00,-389.0
2016-01-09 05:15,-375.0
2016-01-09 05:30,-288.0
2016-01-09 05:45,-175.0
2016-01-09 06:00,-29.9
2016-01-09 06:15,161.0
2016-01-09 06:30,294.0
2016-01-09 06:45,375.0
2016-01-09 07:00,437.0
2016-01-09 07:15,470.0
2016-01-09 07:30,480.0
2016-01-09 07:45,531.0
2016-01-09 08:00,510.0
2016-01-09 08:15,569.0
2016-01-09 08:30,558.0
2016-01-09 08:45,562.0
2016-01-09 09:00,552.0
2016-01-09 09:15,540.0
2016-01-09 09:30,530.0
2016-01-09 09:45,503.0
2016-01-09 10:00,503.0
2016-01-09 10:15,408.0
2016-01-09 10:30,292.0
2016-01-09 10:45,142.0
2016-01-09 11:00,-113.0
2016-01-09 11:15,-485.0
2016-01-09 11:30,-549.0
2016-01-09 11:45,-585.0
2016-01-09 12:00,-671.0
2016-01-09 12:15,-712.0
2016-01-09 12:30,-751.0
2016-01-09 12:45,-708.0
2016-01-09 13:00,-716.0
2016-01-09 13:15,-709.0
2016-01-09 13:30,-639.0
2016-01-09 13:45,-608.0
2016-01-09 14:00,-553.0
2016-01-09 14:15,-517.0
2016-01-09 14:30,-565.0
2016-01-09 14:45,-521.0
2016-01-09 15:00,-498.0
2016-01-09 15:15,-448.0
2016-01-09 15:30,-376.0
2016-01-09 15:45,-345.0
2016-01-09 16:00,-291.0
2016-01-09 16:15,-259.0
2016-01-09 16:30,-222.0
2016-01-09 16:45,-114.0
2016-01-09 17:00,141.0
2016-01-09 17:15,202.0
2016-01-09 17:30,332.0
2016-01-09 17:45,442.0
2016-01-09 18:00,519.0
2016-01-09 18:15,561.0
2016-01-09 18:30,596.0
2016-01-09 18:45,603.0
2016-01-09 19:00,594.0
2016-01-09 19:15,612.0
2016-01-09 19:30,658.0
2016-01-09 19:45,631.0
2016-01-09 20:00,636.0
2016-01-09 20:15,639.0
2016-01-09 20:30,643.0
2016-01-09 20:45,657.0
2016-01-09 21:00,681.0
2016-01-09 21:15,676.0
2016-01-09 21:30,697.0
2016-01-09 21:45,685.0
2016-01-09 22:00,633.0
2016-01-09 22:15,664.0
2016-01-09 22:30,625.0
2016-01-09 22:45,608.0
2016-01-09 23:00,544.0
