Time,Flow
2016-07-13 15:00,42.1
2016-07-13 15:15,57.2
2016-07-13 15:30,52.9
2016-07-13 15:45,62.2
2016-07-13 16:00,69.4
2016-07-13 16:15,66.9
2016-07-13 16:30,57.8
2016-07-13 16:45,55.2
2016-07-13 17:00,52.1
2016-07-13 17:15,54.8
2016-07-13 17:30,50.1
2016-07-13 17:45,31.9
2016-07-13 18:00,38.9
2016-07-13 18:15,45.1
2016-07-13 18:30,52.9
2016-07-13 18:45,47.7
2016-07-13 19:00,25.8
2016-07-13 19:15,10.8
2016-07-13 19:30,-22.2
2016-07-13 19:45,-45.8
2016-07-13 20:00,-49.8
2016-07-13 20:15,-59.2
2016-07-13 20:30,-55.7
2016-07-13 20:45,-53.2
2016-07-13 21:00,-59.0
2016-07-13 21:15,-58.0
2016-07-13 21:30,-30.1
2016-07-13 21:45,-49.0
2016-07-13 22:00,-69.1
2016-07-13 22:15,-43.3
2016-07-13 22:30,-63.5
2016-07-13 22:45,-92.1
2016-07-13 23:00,-98.8
2016-07-13 23:15,-143.0
2016-07-13 23:30,-213.0
2016-07-13 23:45,-296.0
2016-07-14 00:00,-338.0
2016-07-14 00:15,-410.0
2016-07-14 00:30,-384.0
2016-07-14 00:45,-387.0
2016-07-14 01:00,-369.0
2016-07-14 01:15,-352.0
2016-07-14 01:30,-286.0
2016-07-14 01:45,-204.0
2016-07-14 02:00,-108.0
2016-07-14 02:15,48.8
2016-07-14 02:30,267.0
2016-07-14 02:45,436.0
2016-07-14 03:00,551.0
2016-07-14 03:15,572.0
2016-07-14 03:30,493.0
2016-07-14 03:45,375.0
2016-07-14 04:00,294.0
2016-07-14 04:15,244.0
2016-07-14 04:30,198.0
2016-07-14 04:45,173.0
2016-07-14 05:00,147.0
2016-07-14 05:15,152.0
2016-07-14 05:30,140.0
2016-07-14 05:45,123.0
2016-07-14 06:00,124.0
2016-07-14 06:15,121.0
2016-07-14 06:30,97.5
2016-07-14 06:45,98.4
2016-07-14 07:00,68.9
2016-07-14 07:15,79.9
2016-07-14 07:30,66.8
2016-07-14 07:45,68.0
2016-07-14 08:00,57.5
2016-07-14 08:15,59.6
2016-07-14 08:30,43.5
2016-07-14 08:45,45.5
2016-07-14 09:00,38.9
2016-07-14 09:15,13.7
2016-07-14 09:30,7.2
2016-07-14 09:45,-6.13
2016-07-14 10:00,-14.9
2016-07-14 10:15,-30.8
2016-07-14 10:30,-30.7
2016-07-14 10:45,-35.5
2016-07-14 11:00,-46.1
2016-07-14 11:15,-33.8
2016-07-14 11:30,-31.0
2016-07-14 11:45,-38.7
2016-07-14 12:00,-46.1
2016-07-14 12:15,-43.9
2016-07-14 12:30,-41.4
2016-07-14 12:45,-37.8
2016-07-14 13:00,-44.2
