Time,Flow
2014-03-01 00:00,-17700.0
2014-03-01 00:15,-39600.0
2014-03-01 00:30,-59400.0
2014-03-01 00:45,-74800.0
2014-03-01 01:00,-84800.0
2014-03-01 01:15,-91300.0
2014-03-01 01:30,-92200.0
2014-03-01 01:45,-92000.0
2014-03-01 02:00,-90500.0
2014-03-01 02:15,-84800.0
2014-03-01 02:30,-78600.0
2014-03-01 02:45,-75600.0
2014-03-01 03:00,-74400.0
2014-03-01 03:15,-68800.0
2014-03-01 03:30,-68100.0
2014-03-01 03:45,-63200.0
2014-03-01 04:00,-60600.0
2014-03-01 04:15,-50300.0
2014-03-01 04:30,-41700.0
2014-03-01 04:45,-26500.0
2014-03-01 05:00,-17300.0
2014-03-01 05:15,-3340.0
2014-03-01 05:30,8600.0
2014-03-01 05:45,27500.0
2014-03-01 06:00,44900.0
2014-03-01 06:15,58600.0
2014-03-01 06:30,72700.0
2014-03-01 06:45,80000.0
2014-03-01 07:00,86500.0
2014-03-01 07:15,89100.0
2014-03-01 07:30,89400.0
2014-03-01 07:45,89400.0
2014-03-01 08:00,89100.0
2014-03-01 08:15,86400.0
2014-03-01 08:30,84200.0
2014-03-01 08:45,82400.0
2014-03-01 09:00,79000.0
2014-03-01 09:15,74700.0
2014-03-01 09:30,71500.0
2014-03-01 09:45,68200.0
2014-03-01 10:00,63900.0
2014-03-01 10:15,59300.0
2014-03-01 10:30,54900.0
2014-03-01 10:45,47300.0
2014-03-01 11:00,38500.0
2014-03-01 11:15,25000.0
2014-03-01 11:30,4400.0
2014-03-01 11:45,-17600.0
2014-03-01 12:00,-37400.0
2014-03-01 12:15,-59100.0
2014-03-01 12:30,-73000.0
2014-03-01 12:45,-84600.0
2014-03-01 13:00,-91800.0
2014-03-01 13:15,-93800.0
2014-03-01 13:30,-94900.0
2014-03-01 13:45,-93400.0
2014-03-01 14:00,-92400.0
2014-03-01 14:15,-89600.0
2014-03-01 14:30,-82200.0
2014-03-01 14:45,-79900.0
2014-03-01 15:00,-77500.0
2014-03-01 15:15,-74900.0
2014-03-01 15:30,-73000.0
2014-03-01 15:45,-67700.0
2014-03-01 16:00,-59600.0
2014-03-01 16:15,-44000.0
2014-03-01 16:30,-45400.0
2014-03-01 16:45,-33500.0
