Time,Stage
2014-03-01 00:00,3.53
2014-03-01 00:15,3.7
2014-03-01 00:30,3.89
2014-03-01 00:45,4.1
2014-03-01 01:00,4.31
2014-03-01 01:15,4.51
2014-03-01 01:30,4.69
2014-03-01 01:45,4.86
2014-03-01 02:00,5.03
2014-03-01 02:15,5.17
2014-03-01 02:30,5.3
2014-03-01 02:45,5.44
2014-03-01 03:00,5.54
2014-03-01 03:15,5.66
2014-03-01 03:30,5.77
2014-03-01 03:45,5.86
2014-03-01 04:00,5.95
2014-03-01 04:15,6.01
2014-03-01 04:30,6.05
2014-03-01 04:45,6.07
2014-03-01 05:00,6.05
2014-03-01 05:15,6.01
2014-03-01 05:30,5.92
2014-03-01 05:45,5.8
2014-03-01 06:00,5.67
2014-03-01 06:15,5.52
2014-03-01 06:30,5.35
2014-03-01 06:45,5.16
2014-03-01 07:00,4.98
2014-03-01 07:15,4.81
2014-03-01 07:30,4.65
2014-03-01 07:45,4.49
2014-03-01 08:00,4.33
2014-03-01 08:15,4.18
2014-03-01 08:30,4.04
2014-03-01 08:45,3.91
2014-03-01 09:00,3.79
2014-03-01 09:15,3.67
2014-03-01 09:30,3.55
2014-03-01 09:45,3.44
2014-03-01 10:00,3.35
2014-03-01 10:15,3.27
2014-03-01 10:30,3.22
2014-03-01 10:45,3.21
2014-03-01 11:00,3.25
2014-03-01 11:15,3.35
2014-03-01 11:30,3.49
2014-03-01 11:45,3.66
2014-03-01 12:00,3.81
2014-03-01 12:15,3.99
2014-03-01 12:30,4.21
2014-03-01 12:45,4.43
2014-03-01 13:00,4.64
2014-03-01 13:15,4.83
2014-03-01 13:30,5.02
2014-03-01 13:45,5.19
2014-03-01 14:00,5.36
2014-03-01 14:15,5.5
2014-03-01 14:30,5.64
2014-03-01 14:45,5.79
2014-03-01 15:00,5.92
2014-03-01 15:15,6.02
2014-03-01 15:30,6.14
2014-03-01 15:45,6.23
2014-03-01 16:00,6.33
2014-03-01 16:15,6.37
2014-03-01 16:30,6.42
2014-03-01 16:45,6.42
2014-03-01 17:00,6.39
2014-03-01 17:15,6.3
2014-03-01 17:30,6.19
2014-03-01 17:45,6.04
2014-03-01 18:00,5.9
2014-03-01 18:15,5.73
2014-03-01 18:30,5.55
2014-03-01 18:45,5.37
2014-03-01 19:00,5.19
2014-03-01 19:15,5.01
2014-03-01 19:30,4.84
2014-03-01 19:45,4.68
2014-03-01 20:00,4.52
2014-03-01 20:15,4.37
2014-03-01 20:30,4.21
2014-03-01 20:45,4.06
2014-03-01 21:00,3.91
2014-03-01 21:15,3.76
2014-03-01 21:30,3.62
2014-03-01 21:45,3.48
2014-03-01 22:00,3.34
2014-03-01 22:15,3.21
2014-03-01 22:30,3.09
2014-03-01 22:45,2.98
2014-03-01 23:00,2.89
2014-03-01 23:15,2.83
2014-03-01 23:30,2.8
2014-03-01 23:45,2.84
2014-03-02 00:00,2.95
2014-03-02 00:15,3.13
2014-03-02 00:30,3.33
2014-03-02 00:45,3.52
2014-03-02 01:00,3.71
2014-03-02 01:15,3.94
2014-03-02 01:30,4.18
2014-03-02 01:45,4.39
2014-03-02 02:00,4.6
2014-03-02 02:15,4.79
2014-03-02 02:30,4.96
2014-03-02 02:45,5.12
2014-03-02 03:00,5.28
2014-03-02 03:15,5.42
2014-03-02 03:30,5.56
2014-03-02 03:45,5.7
2014-03-02 04:00,5.83
2014-03-02 04:15,5.94
2014-03-02 04:30,6.05
2014-03-02 04:45,6.13
2014-03-02 05:00,6.2
2014-03-02 05:15,6.25
2014-03-02 05:30,6.26
2014-03-02 05:45,6.25
2014-03-02 06:00,6.19
2014-03-02 06:15,6.08
2014-03-02 06:30,5.96
2014-03-02 06:45,5.81
2014-03-02 07:00,5.64
2014-03-02 07:15,5.45
2014-03-02 07:30,5.28
2014-03-02 07:45,5.1
2014-03-02 08:00,4.93
2014-03-02 08:15,4.77
2014-03-02 08:30,4.61
2014-03-02 08:45,4.46
2014-03-02 09:00,4.31
2014-03-02 09:15,4.16
2014-03-02 09:30,4.02
2014-03-02 09:45,3.88
2014-03-02 10:00,3.75
2014-03-02 10:15,3.61
2014-03-02 10:30,3.48
2014-03-02 10:45,3.37
2014-03-02 11:00,3.27
2014-03-02 11:15,3.18
2014-03-02 11:30,3.13
2014-03-02 11:45,3.11
2014-03-02 12:00,3.15
2014-03-02 12:15,3.24
2014-03-02 12:30,3.39
2014-03-02 12:45,3.57
2014-03-02 13:00,3.76
2014-03-02 13:15,3.95
2014-03-02 13:30,4.15
2014-03-02 13:45,4.37
2014-03-02 14:00,4.59
2014-03-02 14:15,4.81
2014-03-02 14:30,4.99
2014-03-02 14:45,5.18
2014-03-02 15:00,5.35
2014-03-02 15:15,5.48
2014-03-02 15:30,5.62
2014-03-02 15:45,5.74
2014-03-02 16:00,5.86
2014-03-02 16:15,5.97
2014-03-02 16:30,6.07
2014-03-02 16:45,6.15
2014-03-02 17:00,6.22
2014-03-02 17:15,6.25
2014-03-02 17:30,6.26
2014-03-02 17:45,6.24
2014-03-02 18:00,6.17
2014-03-02 18:15,6.06
2014-03-02 18:30,5.92
2014-03-02 18:45,5.77
2014-03-02 19:00,5.6
2014-03-02 19:15,5.43
2014-03-02 19:30,5.25
2014-03-02 19:45,5.08
2014-03-02 20:00,4.91
2014-03-02 20:15,4.74
2014-03-02 20:30,4.58
2014-03-02 20:45,4.42
2014-03-02 21:00,4.27
2014-03-02 21:15,4.12
2014-03-02 21:30,3.97
2014-03-02 21:45,3.83
2014-03-02 22:00,3.69
2014-03-02 22:15,3.53
2014-03-02 22:30,3.37
2014-03-02 22:45,3.27
2014-03-02 23:00,3.14
2014-03-02 23:15,3.03
2014-03-02 23:30,2.93
2014-03-02 23:45,2.85
2014-03-03 00:00,2.81
2014-03-03 00:15,2.8
2014-03-03 00:30,2.87
2014-03-03 00:45,3.0
2014-03-03 01:00,3.18
2014-03-03 01:15,3.38
2014-03-03 01:30,3.55
2014-03-03 01:45,3.77
2014-03-03 02:00,3.98
2014-03-03 02:15,4.21
2014-03-03 02:30,4.4
2014-03-03 02:45,4.61
2014-03-03 03:00,4.78
2014-03-03 03:15,4.95
2014-03-03 03:30,5.11
2014-03-03 03:45,5.25
2014-03-03 04:00,5.39
2014-03-03 04:15,5.52
2014-03-03 04:30,5.65
2014-03-03 04:45,5.75
2014-03-03 05:00,5.86
2014-03-03 05:15,5.95
2014-03-03 05:30,6.02
2014-03-03 05:45,6.07
2014-03-03 06:00,6.1
2014-03-03 06:15,6.09
2014-03-03 06:30,6.04
2014-03-03 06:45,5.94
2014-03-03 07:00,5.81
2014-03-03 07:15,5.66
2014-03-03 07:30,5.49
2014-03-03 07:45,5.32
2014-03-03 08:00,5.14
2014-03-03 08:15,4.96
2014-03-03 08:30,4.78
2014-03-03 08:45,4.61
2014-03-03 09:00,4.45
2014-03-03 09:15,4.29
2014-03-03 09:30,4.14
2014-03-03 09:45,4.0
2014-03-03 10:00,3.85
2014-03-03 10:15,3.71
2014-03-03 10:30,3.58
2014-03-03 10:45,3.44
2014-03-03 11:00,3.31
2014-03-03 11:15,3.17
2014-03-03 11:30,3.04
2014-03-03 11:45,2.94
2014-03-03 12:00,2.86
2014-03-03 12:15,2.78
2014-03-03 12:30,2.74
2014-03-03 12:45,2.73
2014-03-03 13:00,2.77
2014-03-03 13:15,2.88
2014-03-03 13:30,3.04
2014-03-03 13:45,3.22
2014-03-03 14:00,3.41
2014-03-03 14:15,3.59
2014-03-03 14:30,3.8
