Time,Flow
2014-03-01 00:00,-5430.0
2014-03-01 00:15,-12900.0
2014-03-01 00:30,-18200.0
2014-03-01 00:45,-22300.0
2014-03-01 01:00,-25300.0
2014-03-01 01:15,-27200.0
2014-03-01 01:30,-29000.0
2014-03-01 01:45,-30500.0
2014-03-01 02:00,-31500.0
2014-03-01 02:15,-31700.0
2014-03-01 02:30,-31300.0
2014-03-01 02:45,-31300.0
2014-03-01 03:00,-30400.0
2014-03-01 03:15,-29600.0
2014-03-01 03:30,-28500.0
2014-03-01 03:45,-27100.0
2014-03-01 04:00,-26000.0
2014-03-01 04:15,-23200.0
2014-03-01 04:30,-20800.0
2014-03-01 04:45,-17900.0
2014-03-01 05:00,-14400.0
2014-03-01 05:15,-10700.0
2014-03-01 05:30,-6840.0
2014-03-01 05:45,-1810.0
2014-03-01 06:00,3310.0
2014-03-01 06:15,8230.0
2014-03-01 06:30,13000.0
2014-03-01 06:45,17100.0
2014-03-01 07:00,19300.0
2014-03-01 07:15,21900.0
2014-03-01 07:30,23500.0
2014-03-01 07:45,25500.0
2014-03-01 08:00,26200.0
2014-03-01 08:15,26100.0
2014-03-01 08:30,26100.0
2014-03-01 08:45,25500.0
2014-03-01 09:00,26100.0
2014-03-01 09:15,25500.0
2014-03-01 09:30,24100.0
2014-03-01 09:45,23200.0
2014-03-01 10:00,22100.0
2014-03-01 10:15,20500.0
2014-03-01 10:30,18800.0
2014-03-01 10:45,16100.0
2014-03-01 11:00,11300.0
2014-03-01 11:15,6380.0
2014-03-01 11:30,620.0
2014-03-01 11:45,-7260.0
2014-03-01 12:00,-13800.0
2014-03-01 12:15,-17700.0
2014-03-01 12:30,-21300.0
2014-03-01 12:45,-23800.0
2014-03-01 13:00,-25200.0
2014-03-01 13:15,-27200.0
2014-03-01 13:30,-29500.0
2014-03-01 13:45,-30600.0
2014-03-01 14:00,-31500.0
2014-03-01 14:15,-32000.0
2014-03-01 14:30,-31900.0
2014-03-01 14:45,-31900.0
2014-03-01 15:00,-31100.0
2014-03-01 15:15,-30300.0
2014-03-01 15:30,-29300.0
2014-03-01 15:45,-27900.0
2014-03-01 16:00,-26800.0
2014-03-01 16:15,-24200.0
2014-03-01 16:30,-21700.0
2014-03-01 16:45,-18400.0
2014-03-01 17:00,-13700.0
2014-03-01 17:15,-8930.0
2014-03-01 17:30,-3360.0
2014-03-01 17:45,2310.0
2014-03-01 18:00,7230.0
2014-03-01 18:15,12200.0
2014-03-01 18:30,16100.0
2014-03-01 18:45,18500.0
2014-03-01 19:00,21000.0
2014-03-01 19:15,23100.0
2014-03-01 19:30,24500.0
2014-03-01 19:45,25700.0
2014-03-01 20:00,25800.0
2014-03-01 20:15,26700.0
2014-03-01 20:30,26600.0
2014-03-01 20:45,27300.0
2014-03-01 21:00,26900.0
2014-03-01 21:15,26600.0
2014-03-01 21:30,26300.0
2014-03-01 21:45,25800.0
2014-03-01 22:00,25800.0
2014-03-01 22:15,25500.0
2014-03-01 22:30,24500.0
2014-03-01 22:45,23900.0
2014-03-01 23:00,22500.0
2014-03-01 23:15,21100.0
2014-03-01 23:30,18400.0
2014-03-01 23:45,14700.0
2014-03-02 00:00,8240.0
2014-03-02 00:15,1500.0
2014-03-02 00:30,-6000.0
2014-03-02 00:45,-13900.0
2014-03-02 01:00,-19700.0
2014-03-02 01:15,-23200.0
2014-03-02 01:30,-25600.0
2014-03-02 01:45,-28100.0
2014-03-02 02:00,-29800.0
2014-03-02 02:15,-31800.0
2014-03-02 02:30,-33000.0
2014-03-02 02:45,-33400.0
2014-03-02 03:00,-33600.0
2014-03-02 03:15,-33600.0
2014-03-02 03:30,-33600.0
2014-03-02 03:45,-33700.0
2014-03-02 04:00,-32200.0
2014-03-02 04:15,-31100.0
2014-03-02 04:30,-30000.0
2014-03-02 04:45,-28900.0
2014-03-02 05:00,-26300.0
2014-03-02 05:15,-24000.0
2014-03-02 05:30,-20800.0
2014-03-02 05:45,-16600.0
2014-03-02 06:00,-12700.0
2014-03-02 06:15,-7320.0
2014-03-02 06:30,-1690.0
2014-03-02 06:45,3830.0
2014-03-02 07:00,10200.0
2014-03-02 07:15,14900.0
2014-03-02 07:30,18600.0
2014-03-02 07:45,20800.0
2014-03-02 08:00,22800.0
2014-03-02 08:15,24900.0
2014-03-02 08:30,26000.0
2014-03-02 08:45,26200.0
2014-03-02 09:00,26900.0
2014-03-02 09:15,26700.0
2014-03-02 09:30,27300.0
2014-03-02 09:45,26200.0
2014-03-02 10:00,26100.0
2014-03-02 10:15,25400.0
2014-03-02 10:30,24700.0
2014-03-02 10:45,24000.0
2014-03-02 11:00,22900.0
2014-03-02 11:15,21900.0
2014-03-02 11:30,19600.0
2014-03-02 11:45,17600.0
2014-03-02 12:00,13500.0
2014-03-02 12:15,7140.0
2014-03-02 12:30,1380.0
2014-03-02 12:45,-6320.0
2014-03-02 13:00,-13800.0
2014-03-02 13:15,-19400.0
2014-03-02 13:30,-23100.0
2014-03-02 13:45,-25800.0
2014-03-02 14:00,-27900.0
2014-03-02 14:15,-30200.0
2014-03-02 14:30,-31900.0
2014-03-02 14:45,-33200.0
2014-03-02 15:00,-34200.0
2014-03-02 15:15,-33600.0
2014-03-02 15:30,-34000.0
2014-03-02 15:45,-33500.0
2014-03-02 16:00,-32300.0
2014-03-02 16:15,-31500.0
2014-03-02 16:30,-30200.0
2014-03-02 16:45,-28800.0
2014-03-02 17:00,-26100.0
2014-03-02 17:15,-23400.0
2014-03-02 17:30,-20500.0
2014-03-02 17:45,-16400.0
2014-03-02 18:00,-12100.0
2014-03-02 18:15,-6370.0
2014-03-02 18:30,-522.0
2014-03-02 18:45,5120.0
2014-03-02 19:00,11000.0
2014-03-02 19:15,15300.0
2014-03-02 19:30,18800.0
2014-03-02 19:45,20900.0
2014-03-02 20:00,23200.0
2014-03-02 20:15,24900.0
2014-03-02 20:30,26400.0
