Time,Flow
2017-11-02 15:30,-55.9
2017-11-02 15:45,-70.1
2017-11-02 16:00,-67.5
2017-11-02 16:15,-56.8
2017-11-02 16:30,-46.5
2017-11-02 16:45,-21.9
2017-11-02 17:00,16.5
2017-11-02 17:15,45.1
2017-11-02 17:30,58.4
2017-11-02 17:45,61.5
2017-11-02 18:00,61.2
2017-11-02 18:15,61.7
2017-11-02 18:30,53.8
2017-11-02 18:45,50.2
2017-11-02 19:00,46.5
2017-11-02 19:15,42.4
2017-11-02 19:30,40.7
2017-11-02 19:45,36.2
2017-11-02 20:00,30.9
2017-11-02 20:15,28.7
2017-11-02 20:30,24.0
2017-11-02 20:45,19.7
2017-11-02 21:00,15.2
2017-11-02 21:15,10.7
2017-11-02 21:30,7.3
2017-11-02 22:30,3.28
2017-11-02 22:45,1.22
2017-11-02 23:00,1.0
2017-11-02 23:15,1.05
2017-11-02 23:30,0.14
2017-11-02 23:45,-0.26
2017-11-03 00:00,0.35
2017-11-03 00:15,0.45
2017-11-03 00:30,0.87
2017-11-03 00:45,0.39
2017-11-03 01:00,-1.69
2017-11-03 01:15,-5.0
2017-11-03 01:30,-9.0
2017-11-03 01:45,-11.7
2017-11-03 02:00,-12.0
2017-11-03 02:15,-12.5
2017-11-03 02:30,-16.2
2017-11-03 02:45,-19.3
2017-11-03 03:00,-24.0
2017-11-03 03:15,-25.6
2017-11-03 03:30,-28.5
2017-11-03 03:45,-32.0
2017-11-03 04:00,-34.0
2017-11-03 04:15,-33.5
2017-11-03 04:30,-34.3
2017-11-03 04:45,-32.3
2017-11-03 05:00,-25.6
2017-11-03 05:15,-13.5
2017-11-03 05:30,8.25
2017-11-03 05:45,29.8
2017-11-03 06:00,34.6
2017-11-03 06:15,39.0
2017-11-03 06:30,39.3
2017-11-03 06:45,36.1
2017-11-03 07:00,35.3
2017-11-03 07:15,30.1
2017-11-03 07:30,28.0
2017-11-03 07:45,25.1
2017-11-03 08:00,22.2
2017-11-03 08:15,18.7
2017-11-03 08:30,15.2
2017-11-03 08:45,12.4
2017-11-03 09:00,9.28
2017-11-03 09:15,6.55
2017-11-03 09:30,4.35
2017-11-03 09:45,3.6
2017-11-03 10:00,2.43
2017-11-03 10:15,2.06
2017-11-03 10:30,1.05
2017-11-03 10:45,1.05
2017-11-03 11:00,0.9
2017-11-03 11:15,0.68
2017-11-03 11:30,-0.7
2017-11-03 11:45,-0.34
2017-11-03 12:00,-3.17
2017-11-03 12:15,-7.53
2017-11-03 12:30,-11.0
2017-11-03 12:45,-14.9
2017-11-03 13:00,-18.7
2017-11-03 13:15,-19.7
2017-11-03 13:30,-22.3
2017-11-03 13:45,-26.8
2017-11-03 14:00,-30.7
2017-11-03 14:15,-36.6
2017-11-03 14:30,-42.5
2017-11-03 14:45,-48.5
2017-11-03 15:00,-55.6
2017-11-03 15:15,-61.4
2017-11-03 15:30,-67.7
2017-11-03 15:45,-71.1
2017-11-03 16:00,-72.5
2017-11-03 16:15,-77.9
2017-11-03 16:30,-72.8
2017-11-03 16:45,-70.1
2017-11-03 17:00,-56.1
2017-11-03 17:15,-32.3
2017-11-03 17:30,0.58
2017-11-03 17:45,38.5
2017-11-03 18:00,54.8
2017-11-03 18:15,66.0
2017-11-03 18:30,69.5
2017-11-03 18:45,68.4
2017-11-03 19:00,63.8
2017-11-03 19:15,58.5
2017-11-03 19:30,53.8
2017-11-03 19:45,53.1
2017-11-03 20:00,47.7
2017-11-03 20:15,43.9
2017-11-03 20:30,37.9
2017-11-03 20:45,33.9
2017-11-03 21:00,29.3
2017-11-03 21:15,26.6
2017-11-03 21:30,21.6
2017-11-03 21:45,16.7
2017-11-03 22:00,12.6
2017-11-03 22:30,7.84
2017-11-03 22:45,3.97
2017-11-03 23:00,3.57
2017-11-03 23:15,1.79
2017-11-03 23:30,1.74
2017-11-03 23:45,0.81
2017-11-04 00:00,0.77
2017-11-04 00:30,0.08
2017-11-04 00:45,-0.17
2017-11-04 01:00,0.5
2017-11-04 01:15,1.33
2017-11-04 01:45,0.26
2017-11-04 02:00,-3.36
2017-11-04 02:15,-7.04
2017-11-04 02:30,-9.64
2017-11-04 02:45,-11.0
2017-11-04 03:00,-12.6
2017-11-04 03:15,-16.3
2017-11-04 03:30,-19.5
2017-11-04 03:45,-22.6
2017-11-04 04:00,-25.5
2017-11-04 04:15,-28.8
2017-11-04 04:30,-33.0
2017-11-04 04:45,-37.4
2017-11-04 05:00,-39.8
2017-11-04 05:15,-41.0
2017-11-04 05:30,-41.0
2017-11-04 05:45,-39.2
2017-11-04 06:00,-32.1
2017-11-04 06:15,-17.9
2017-11-04 06:30,6.81
2017-11-04 06:45,37.4
2017-11-04 07:00,43.9
2017-11-04 07:15,45.6
2017-11-04 07:30,45.2
2017-11-04 07:45,40.3
2017-11-04 08:00,40.9
2017-11-04 08:15,35.6
2017-11-04 08:30,34.4
2017-11-04 08:45,30.2
2017-11-04 09:00,29.5
2017-11-04 09:15,23.6
