time,Q,s,T
2007-09-29,-4.162576,0.0,0.0
2007-09-30,-2.803368,0.0,0.0
2007-10-01,-2.15208,0.0,0.0
2007-10-02,-1.52911,0.0,0.0
2007-10-03,-1.868912,0.0,0.0
2007-10-04,-2.237031,0.0,0.0
2007-10-05,-2.661784,0.0,0.0
2007-10-06,-2.6901,0.0,0.0
2007-10-07,-2.123763,0.0,0.0
2007-10-08,-1.925546,0.0,0.0
2007-10-09,-1.699011,0.0,0.0
2007-10-10,-1.642377,0.0,0.0
2007-10-11,-1.642377,0.0,0.0
2007-10-12,-1.330892,0.0,0.0
2007-10-13,-1.217624,0.0,0.0
2007-10-14,-1.783961,0.0,0.0
2007-10-15,-2.265348,0.0,0.0
2007-10-16,-1.840595,0.0,0.0
2007-10-17,-1.783961,0.0,0.0
2007-10-18,-1.812278,0.0,0.0
2007-10-19,-1.953862,0.0,0.0
2007-10-20,-2.038813,0.0,0.0
2007-10-21,-1.52911,0.0,0.0
2007-10-22,-2.06713,0.0,0.0
2007-10-23,-2.321981,0.0,0.0
2007-10-24,-2.576833,0.0,0.0
2007-10-25,-2.775051,0.0,0.0
2007-10-26,-2.916635,0.0,0.0
2007-10-27,-2.916635,0.0,0.0
2007-10-28,-2.6901,0.0,0.0
2007-10-29,-3.001586,0.0,0.0
2007-10-30,-3.001586,0.0,0.0
2007-10-31,-2.803368,0.0,0.0
2007-11-01,-2.576833,0.0,0.0
2007-11-02,-2.831685,0.0,0.0
2007-11-03,-2.803368,0.0,0.0
2007-11-04,-2.916635,0.0,0.0
2007-11-05,-2.916635,0.0,0.0
2007-11-06,-2.944952,0.0,0.0
2007-11-07,-2.860002,0.0,0.0
2007-11-08,-2.661784,0.0,0.0
2007-11-09,-2.860002,0.0,0.0
2007-11-10,-2.548516,0.0,0.0
2007-11-11,-2.633467,0.0,0.0
2007-11-12,-2.6901,0.0,0.0
2007-11-13,-2.576833,0.0,0.0
2007-11-14,-2.548516,0.0,0.0
2007-11-15,-2.435249,0.0,0.0
2007-11-16,-2.435249,0.0,0.0
